Category: All categories

Day,ripple: (Worldwide)
2019-09-01,61
2019-09-02,57
2019-09-03,59
2019-09-04,64
2019-09-05,54
2019-09-06,58
2019-09-07,82
2019-09-08,64
2019-09-09,56
2019-09-10,55
2019-09-11,62
2019-09-12,65
2019-09-13,60
2019-09-14,66
2019-09-15,68
2019-09-16,63
2019-09-17,85
2019-09-18,99
2019-09-19,71
2019-09-20,64
2019-09-21,57
2019-09-22,67
2019-09-23,65
2019-09-24,76
2019-09-25,75
2019-09-26,62
2019-09-27,60
2019-09-28,66
2019-09-29,61
2019-09-30,64
2019-10-01,64
2019-10-02,59
2019-10-03,61
2019-10-04,63
2019-10-05,58
2019-10-06,66
2019-10-07,68
2019-10-08,63
2019-10-09,65
2019-10-10,65
2019-10-11,56
2019-10-12,57
2019-10-13,55
2019-10-14,67
2019-10-15,68
2019-10-16,59
2019-10-17,68
2019-10-18,59
2019-10-19,58
2019-10-20,57
2019-10-21,63
2019-10-22,64
2019-10-23,69
2019-10-24,64
2019-10-25,63
2019-10-26,70
2019-10-27,67
2019-10-28,62
2019-10-29,65
2019-10-30,65
2019-10-31,61
2019-11-01,59
2019-11-02,66
2019-11-03,79
2019-11-04,60
2019-11-05,69
2019-11-06,79
2019-11-07,79
2019-11-08,70
2019-11-09,62
2019-11-10,65
2019-11-11,53
2019-11-12,57
2019-11-13,61
2019-11-14,61
2019-11-15,56
2019-11-16,52
2019-11-17,52
2019-11-18,64
2019-11-19,59
2019-11-20,62
2019-11-21,58
2019-11-22,59
2019-11-23,68
2019-11-24,60
2019-11-25,64
2019-11-26,63
2019-11-27,60
2019-11-28,52
2019-11-29,52
2019-11-30,50
2019-12-01,56
2019-12-02,56
2019-12-03,53
2019-12-04,56
2019-12-05,52
2019-12-06,54
2019-12-07,62
2019-12-08,50
2019-12-09,56
2019-12-10,49
2019-12-11,53
2019-12-12,58
2019-12-13,53
2019-12-14,55
2019-12-15,70
2019-12-16,53
2019-12-17,66
2019-12-18,68
2019-12-19,57
2019-12-20,65
2019-12-21,66
2019-12-22,59
2019-12-23,67
2019-12-24,66
2019-12-25,48
2019-12-26,50
2019-12-27,52
2019-12-28,50
2019-12-29,57
2019-12-30,56
2019-12-31,64
2020-01-01,51
2020-01-02,53
2020-01-03,54
2020-01-04,53
2020-01-05,52
2020-01-06,72
2020-01-07,68
2020-01-08,60
2020-01-09,58
2020-01-10,60
2020-01-11,55
2020-01-12,58
2020-01-13,53
2020-01-14,67
2020-01-15,81
2020-01-16,70
2020-01-17,67
2020-01-18,56
2020-01-19,96
2020-01-20,55
2020-01-21,62
2020-01-22,60
2020-01-23,62
2020-01-24,60
2020-01-25,57
2020-01-26,59
2020-01-27,53
2020-01-28,57
2020-01-29,63
2020-01-30,59
2020-01-31,57
2020-02-01,51
2020-02-02,67
2020-02-03,61
2020-02-04,72
2020-02-05,84
2020-02-06,79
2020-02-07,72
2020-02-08,60
2020-02-09,81
2020-02-10,69
2020-02-11,66
2020-02-12,80
2020-02-13,100
2020-02-14,87
2020-02-15,75
2020-02-16,79
2020-02-17,70
2020-02-18,75
2020-02-19,72
2020-02-20,64
2020-02-21,61
2020-02-22,60
2020-02-23,78
2020-02-24,58
2020-02-25,68
2020-02-26,68
2020-02-27,63
2020-02-28,63
2020-02-29,56
2020-03-01,54
2020-03-02,54
2020-03-03,55
2020-03-04,60
2020-03-05,58
2020-03-06,60
2020-03-07,55
2020-03-08,84
2020-03-09,60
2020-03-10,61
2020-03-11,57
2020-03-12,62
2020-03-13,67
2020-03-14,64
2020-03-15,59
2020-03-16,58
2020-03-17,54
2020-03-18,46
2020-03-19,59
2020-03-20,55
2020-03-21,49
2020-03-22,46
2020-03-23,50
2020-03-24,56
2020-03-25,52
2020-03-26,51
2020-03-27,61
2020-03-28,52
2020-03-29,50
2020-03-30,49
2020-03-31,48
2020-04-01,47
2020-04-02,53
2020-04-03,53
2020-04-04,49
2020-04-05,52
2020-04-06,60
2020-04-07,63
2020-04-08,59
2020-04-09,59
2020-04-10,56
2020-04-11,54
2020-04-12,52
2020-04-13,55
2020-04-14,52
2020-04-15,53
2020-04-16,53
2020-04-17,52
2020-04-18,54
2020-04-19,49
2020-04-20,52
2020-04-21,57
2020-04-22,52
2020-04-23,54
2020-04-24,55
2020-04-25,57
2020-04-26,51
2020-04-27,52
2020-04-28,59
2020-04-29,70
2020-04-30,67
2020-05-01,59
